"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170101 ~ 20171231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 여의도동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","125.75","201701","7","134,000","10","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","201703","15","127,000","1","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201703","28","107,000","8","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","201703","29","105,000","4","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","201704","13","107,500","7","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","125.75","201704","13","137,000","12","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","201705","27","144,000","1","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","103.41","201707","25","110,000","1","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201708","19","105,000","8","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","103.41","201709","6","102,000","1","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","201709","21","111,000","11","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","201709","24","110,000","9","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","201709","30","138,000","12","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","125.75","201711","8","139,000","10","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201711","13","112,000","4","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201712","9","115,000","6","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","201712","14","140,000","4","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201712","16","114,500","2","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","201701","2","101,900","9","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","150.71","201702","21","134,400","5","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","116.53","201703","7","115,000","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","116.53","201703","21","115,000","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","101.39","201703","24","104,000","11","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","201703","28","102,500","11","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","136.63","201704","6","134,000","8","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","138.31","201704","11","133,000","10","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","186.94","201704","15","153,000","1","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","150.71","201705","2","140,000","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","201705","24","150,000","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","201707","25","150,000","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","201707","25","123,900","6","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","151.54","201707","31","150,500","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","101.39","201707","31","103,000","11","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","150.71","201708","29","147,500","4","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","184.1","201709","16","147,000","11","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","103.93","201710","14","119,000","1","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","184.1","201710","18","160,000","6","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","201710","20","147,000","12","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","116.53","201711","24","127,500","5","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","139.14","201712","11","144,500","10","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","135.84","201712","15","144,000","9","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","151.24","201703","16","132,000","3","1978","여의나루로 12",""," ","-","-"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","102.85","201704","6","102,000","8","1978","여의나루로 12",""," ","-","-"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","117.06","201706","2","124,000","7","1978","여의나루로 12",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201702","13","79,700","10","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201703","17","82,000","2","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","151.74","201703","30","135,000","9","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201703","31","81,800","6","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201704","3","84,000","12","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201704","7","83,500","6","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201704","8","83,200","5","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201704","13","107,000","4","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201705","16","84,000","2","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201705","19","83,500","6","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201705","29","88,500","4","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201706","1","89,000","11","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201706","5","85,500","8","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201706","8","89,500","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201706","9","88,000","9","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201706","14","90,000","7","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201706","29","113,700","2","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201707","2","116,000","5","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201707","13","93,500","7","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201707","22","121,000","7","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201708","2","95,200","6","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201709","22","94,000","12","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201709","23","94,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201709","30","95,000","12","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201710","20","94,000","7","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201710","20","97,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201710","20","92,000","11","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201710","21","97,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201711","1","94,000","1","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201711","10","96,000","6","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201711","22","120,000","7","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201711","27","120,000","2","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201712","1","96,000","8","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","151.74","201712","15","153,000","10","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201712","18","99,000","11","1975","국제금융로7길 20",""," ","-","-"
