"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 여의도동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","132.73","201303","2","77,500","1","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","201304","2","68,500","8","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","125.75","201304","11","83,500","5","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","201304","20","84,500","11","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","125.75","201305","22","85,000","10","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","201308","6","83,000","7","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","201310","4","66,000","11","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201311","28","67,000","12","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","201312","21","66,800","9","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","201301","24","74,700","4","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","138.31","201301","24","92,700","5","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","101.39","201301","30","77,000","4","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","138.31","201304","9","96,000","9","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","201304","9","82,000","10","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","103.17","201304","19","82,000","4","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","201305","13","108,750","5","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","151.54","201305","15","99,250","3","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","138.31","201306","3","99,800","9","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","103.17","201306","3","83,800","6","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","119.97","201310","8","86,000","1","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","135.84","201310","16","88,000","3","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","151.24","201301","30","93,700","4","1978","여의나루로 12",""," ","-","-"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","138.81","201302","23","94,000","4","1978","여의나루로 12",""," ","-","-"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","151.27","201306","11","96,000","2","1978","여의나루로 12",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201301","12","58,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201302","7","60,000","11","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201302","22","80,000","8","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201303","11","61,000","2","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201303","28","62,000","11","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201304","8","62,300","1","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201305","16","63,500","8","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201305","18","58,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201306","14","79,500","9","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201306","24","62,000","10","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201308","19","60,000","9","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201308","24","59,000","1","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201309","2","59,700","5","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","133.65","201309","4","81,000","12","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201310","2","60,000","1","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201310","16","61,800","8","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201312","9","60,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","151.74","201312","16","95,500","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201312","25","60,000","11","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","201312","27","61,250","6","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","123.78","201302","1","89,000","10","2003","여의동로 97",""," ","-","-"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","179.78","201309","27","132,500","33","2003","여의동로 97",""," ","-","-"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","179.78","201312","16","117,000","8","2003","여의동로 97",""," ","-","-"
